#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-09-09T12:20:21 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ522dbc517400	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/375/863&tab:{J/A+A/375/863/table3}&key:source=J/A+A/375/863&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/375/863/table3
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=V-I
#-out=F1
#-out=F2
#-out=F3
#-out=F4
#-out=F5
#
#
#RESOURCE=yCat_33750863
#Name: J/A+A/375/863
#Title: Photometry in NGC 2516 (Jeffries+, 2001)
#Table	J_A_A_375_863_table3:
#Name: J/A+A/375/863/table3
#Title: The photometric catalogue for NGC 2516
#Column	ID	(I5)	Star number	[ucd=meta.id]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? B-V colour index (1)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F6.3)	? V-I (Cousins) colour index (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	F1	(I2)	[-1/1] V vs B-V membership flag (2)	[ucd=meta.code.member]
#Column	F2	(I2)	[-1/1] V vs V-I membership flag (2)	[ucd=meta.code.member]
#Column	F3	(I2)	[-1/1] B-V vs V-I membership flag (2)	[ucd=meta.code.member]
#Column	F4	(I2)	[-1/1] Candidate membership flag (3)	[ucd=meta.code.member]
#Column	F5	(I1)	[0/1] Binarity flag (4)	[ucd=meta.code]
#ID;RAJ2000;DEJ2000;Vmag;B-V;V-I;F1;F2;F3;F4;F5
# ;"h:m:s";"d:m:s"; ; ; ; ; ; ; ;
#-----;------------;------------;------;------;------;--;--;--;--;-
  758;07 54 35.238;-61 01 01.24;12.632; 0.639; 0.794; 1; 1; 1; 1;1
  759;07 54 35.238;-61 01 23.61;16.576; 0.748; 0.911;-1;-1; 1;-1;0
  760;07 54 35.249;-61 10 55.69;19.966;      ; 1.705; 0;-1; 0;-1;0
  761;07 54 35.259;-61 01 46.48;19.113; 0.499; 0.838;-1;-1; 1;-1;0
  762;07 54 35.264;-60 30 45.05;13.990; 1.632; 1.735;-1;-1;-1;-1;0
  763;07 54 35.276;-61 00 15.33;16.930; 0.695; 0.927;-1;-1; 1;-1;0
  764;07 54 35.298;-60 53 01.05;18.157;      ; 2.371; 0; 1; 0; 1;0
  765;07 54 35.308;-61 05 38.22;19.166;      ; 2.611; 0; 1; 0; 1;0
  766;07 54 35.312;-60 49 14.52;15.462; 1.095; 1.215; 1; 1; 1; 1;0
  767;07 54 35.323;-60 21 51.75;19.959; 0.542; 0.956;-1;-1;-1;-1;0
  768;07 54 35.364;-60 21 59.13;18.644; 1.515; 2.013; 1;-1; 1;-1;0
  769;07 54 35.394;-60 22 09.15;18.703; 0.698; 1.034;-1;-1;-1;-1;0
  770;07 54 35.453;-60 34 43.39;15.819; 0.955; 1.093;-1;-1; 1;-1;0
  771;07 54 35.463;-60 30 00.58;18.899; 1.684; 2.204; 1;-1; 1;-1;0
  772;07 54 35.473;-60 53 21.26;14.884; 0.808; 0.999;-1;-1; 1;-1;0
  773;07 54 35.503;-60 32 58.72;15.787; 1.042; 1.201;-1;-1; 1;-1;0
  774;07 54 35.519;-60 49 55.46;19.034;      ; 2.631; 0; 1; 0; 1;0
  775;07 54 35.533;-60 29 48.67;20.147;      ; 0.822; 0;-1; 0;-1;0
  776;07 54 35.543;-60 51 35.73;15.795; 0.843; 0.979;-1;-1; 1;-1;0
  777;07 54 35.556;-60 45 09.49;15.758; 1.508; 2.223; 1;-1; 1;-1;0
  778;07 54 35.599;-61 06 18.87;18.795; 0.744; 1.051;-1;-1;-1;-1;0
  779;07 54 35.722;-60 35 12.47;19.482;      ; 0.921; 0;-1; 0;-1;0
  780;07 54 35.745;-60 59 29.27;15.684; 0.859; 1.045;-1;-1; 1;-1;0
  781;07 54 35.762;-60 36 01.13;20.385;      ; 2.309; 0;-1; 0;-1;0
  782;07 54 35.763;-60 29 31.06;17.193; 1.109; 1.284;-1;-1; 1;-1;0
  783;07 54 35.785;-60 22 53.52;18.553; 1.307; 1.464;-1;-1; 1;-1;0
  784;07 54 35.787;-60 50 28.54;15.661; 1.069; 1.192;-1;-1; 1;-1;0
  785;07 54 35.860;-60 19 23.16;19.363;      ; 1.294; 0;-1; 0;-1;0
  786;07 54 35.861;-60 46 32.78;19.398; 1.760; 1.712; 1;-1;-1;-1;0
  787;07 54 35.973;-60 30 22.12;16.752; 0.722; 0.908;-1;-1; 1;-1;0
  788;07 54 35.983;-60 21 42.62;15.734; 0.688; 0.847;-1;-1; 1;-1;0
  789;07 54 36.016;-60 23 27.40;19.704;      ; 1.460; 0;-1; 0;-1;0
  790;07 54 36.058;-60 50 14.36;16.781; 0.675; 0.903;-1;-1; 1;-1;0
  791;07 54 36.102;-60 33 55.79;17.073; 0.849; 1.047;-1;-1; 1;-1;0
  792;07 54 36.132;-61 12 35.84;19.932;      ; 1.256; 0;-1; 0;-1;0
  793;07 54 36.142;-60 30 28.91;19.191;      ; 1.800; 0;-1; 0;-1;0
  794;07 54 36.194;-61 03 37.17;15.166; 0.733; 0.899;-1;-1; 1;-1;0
  795;07 54 36.226;-60 54 50.43;17.921; 1.562; 1.892; 1;-1; 1;-1;0
  796;07 54 36.310;-60 19 23.25;19.219;      ; 1.940; 0;-1; 0;-1;0
  797;07 54 36.411;-60 41 12.52;16.395; 0.848; 1.011;-1;-1; 1;-1;0
  798;07 54 36.433;-60 40 31.51;13.707; 0.579; 0.747;-1;-1; 1;-1;0
  799;07 54 36.465;-60 45 30.26;15.677; 1.051; 1.227;-1;-1; 1;-1;0
  800;07 54 36.475;-61 13 54.10;12.923; 0.602; 0.824;-1; 1; 1;-1;1
  801;07 54 36.481;-61 02 25.34;18.142; 0.706; 1.136;-1;-1;-1;-1;0
  802;07 54 36.494;-60 43 09.75;20.028;      ; 1.938; 0;-1; 0;-1;0
  803;07 54 36.505;-60 48 29.34;18.774; 1.252; 1.108;-1;-1;-1;-1;0
  804;07 54 36.522;-60 30 15.54;19.358;      ; 1.829; 0;-1; 0;-1;0
  805;07 54 36.529;-60 26 06.22;19.421; 1.609; 1.927; 1;-1; 1;-1;0
  806;07 54 36.568;-60 41 54.06;18.076; 1.017; 1.302;-1;-1; 1;-1;0
  807;07 54 36.609;-61 01 06.83;17.891; 0.823; 1.020;-1;-1; 1;-1;0
  808;07 54 36.612;-60 30 46.06;18.191; 1.395; 1.755;-1;-1; 1;-1;0
  809;07 54 36.629;-60 52 56.09;13.976; 0.691; 0.865;-1;-1; 1;-1;0
  810;07 54 36.700;-60 26 55.67;19.333; 0.787; 0.918;-1;-1; 1;-1;0
  811;07 54 36.764;-60 45 54.78;19.072;      ; 1.256; 0;-1; 0;-1;0
  812;07 54 36.847;-60 50 31.18;18.492; 1.126; 1.061;-1;-1; 1;-1;0
  813;07 54 36.872;-60 27 56.82;16.600; 0.923; 0.970;-1;-1; 1;-1;0
  814;07 54 36.879;-61 06 27.61;17.183; 0.786; 1.048;-1;-1; 1;-1;0
  815;07 54 36.941;-60 57 07.80;18.855; 1.180; 1.451;-1;-1; 1;-1;0
  816;07 54 37.026;-60 59 56.61;19.600;      ; 1.928; 0;-1; 0;-1;0
  817;07 54 37.042;-61 02 37.10;15.307; 0.723; 0.951;-1;-1; 1;-1;0
  818;07 54 37.051;-60 29 31.65;19.659;      ; 2.112; 0;-1; 0;-1;0
  819;07 54 37.106;-60 54 38.47;18.756;      ; 2.080; 0;-1; 0;-1;0
  820;07 54 37.131;-60 46 47.69;18.031; 1.360; 1.484;-1;-1; 1;-1;0
  821;07 54 37.192;-60 20 34.50;18.704; 1.705; 1.968; 1;-1;-1;-1;0
  822;07 54 37.201;-60 32 37.42;20.636;      ; 1.965; 0;-1; 0;-1;0
  823;07 54 37.261;-60 49 32.77;16.717; 0.933; 1.105;-1;-1; 1;-1;0
  824;07 54 37.287;-60 24 33.78;15.500; 0.729; 0.869;-1;-1; 1;-1;0
  825;07 54 37.348;-60 24 46.87;20.438;      ; 1.935; 0;-1; 0;-1;0
  826;07 54 37.349;-60 52 53.18;14.533; 0.618; 0.919;-1;-1;-1;-1;0
  827;07 54 37.355;-61 14 01.02;19.081;      ; 1.654; 0;-1; 0;-1;0
  828;07 54 37.366;-60 59 49.29;19.671;      ; 1.606; 0;-1; 0;-1;0
  829;07 54 37.420;-60 36 01.40;20.323;      ; 2.696; 0;-1; 0;-1;0
  830;07 54 37.509;-61 11 03.29;16.807; 0.793; 1.003;-1;-1; 1;-1;0
  831;07 54 37.560;-60 18 51.03;11.663; 1.134; 1.211;-1;-1; 1;-1;0
  832;07 54 37.564;-60 53 40.27;18.975;      ; 2.328; 0;-1; 0;-1;0
  833;07 54 37.585;-61 09 21.66;18.586; 0.776; 1.339;-1;-1;-1;-1;0
  834;07 54 37.589;-60 52 48.91;16.491; 0.786; 1.024;-1;-1;-1;-1;0
  835;07 54 37.590;-60 47 04.49;19.165;      ; 1.020; 0;-1; 0;-1;0
  836;07 54 37.600;-60 34 54.87;18.535; 1.633; 1.863; 1;-1;-1;-1;0
  837;07 54 37.638;-61 10 41.60;18.899;      ; 1.310; 0;-1; 0;-1;0
  838;07 54 37.646;-61 09 48.50;19.511;      ; 0.935; 0;-1; 0;-1;0
  839;07 54 37.710;-60 32 18.49;18.863; 1.066; 1.032;-1;-1; 1;-1;0
  840;07 54 37.764;-60 53 29.55;18.959;      ; 1.135; 0;-1; 0;-1;0
  841;07 54 37.786;-60 23 36.58;17.851; 0.865; 0.954;-1;-1; 1;-1;0
  842;07 54 37.790;-60 35 33.48;15.134; 0.637; 0.846;-1;-1; 1;-1;0
  843;07 54 37.794;-60 48 34.42;20.823;      ; 3.865; 0;-1; 0;-1;0
  844;07 54 37.821;-61 02 03.50;14.683; 1.043; 1.185; 1; 1; 1; 1;1
  845;07 54 37.846;-61 05 11.73;17.518; 0.936; 1.098;-1;-1; 1;-1;0
  846;07 54 37.898;-60 25 13.24;15.636; 0.869; 1.298;-1; 1;-1;-1;0
  847;07 54 37.921;-61 07 29.48;17.397; 0.748; 0.991;-1;-1; 1;-1;0
  848;07 54 38.022;-61 08 10.80;20.188;      ; 1.466; 0;-1; 0;-1;0
  849;07 54 38.067;-60 45 08.23;19.066; 0.936; 1.313;-1;-1;-1;-1;0
  850;07 54 38.068;-60 25 11.40;15.480; 0.775; 1.142;-1;-1;-1;-1;0
  851;07 54 38.077;-61 10 23.94;11.900; 1.744; 1.876;-1;-1;-1;-1;0
  852;07 54 38.123;-61 02 48.31;16.441; 0.759; 0.969;-1;-1; 1;-1;0
  853;07 54 38.131;-60 44 02.39;18.822; 1.683; 1.933; 1;-1;-1;-1;0
  854;07 54 38.131;-60 56 59.58;18.658; 0.959; 0.800;-1;-1;-1;-1;0
  855;07 54 38.228;-61 11 00.49;19.953;      ; 1.593; 0;-1; 0;-1;0
  856;07 54 38.262;-60 43 29.55;14.309; 0.794; 0.939;-1;-1; 1;-1;0
  857;07 54 38.304;-60 21 39.42;19.095;      ; 0.313; 0;-1; 0;-1;0
  858;07 54 38.507;-60 54 39.57;16.922; 0.760; 0.869;-1;-1; 1;-1;0
  859;07 54 38.536;-60 54 29.52;17.959;      ; 1.053; 0;-1; 0;-1;0
  860;07 54 38.553;-60 49 00.64;18.365; 0.735; 1.020;-1;-1; 1;-1;0
  861;07 54 38.557;-60 54 52.82;19.292;      ; 1.115; 0;-1; 0;-1;0
  862;07 54 38.569;-60 31 08.11;16.930; 0.792; 0.964;-1;-1; 1;-1;0
  863;07 54 38.582;-60 28 03.58;18.369; 1.010; 1.395;-1;-1;-1;-1;0
  864;07 54 38.618;-60 24 38.83;17.988; 0.681; 0.833;-1;-1; 1;-1;0
  865;07 54 38.638;-60 39 58.45;19.885;      ; 0.542; 0;-1; 0;-1;0
  866;07 54 38.678;-60 35 23.32;17.910; 0.691; 0.985;-1;-1;-1;-1;0
  867;07 54 38.679;-61 06 48.27;20.281;      ; 1.097; 0;-1; 0;-1;0
  868;07 54 38.685;-60 53 36.74;15.969; 0.959; 1.099;-1;-1; 1;-1;0
  869;07 54 38.727;-60 54 32.62;16.885; 0.857; 1.042;-1;-1; 1;-1;0
  870;07 54 38.736;-60 22 58.70;19.184;      ; 0.585; 0;-1; 0;-1;0
  871;07 54 38.764;-60 29 20.06;20.819;      ; 2.469; 0;-1; 0;-1;0
  872;07 54 38.784;-61 14 02.59;18.663;      ; 0.938; 0;-1; 0;-1;0
  873;07 54 38.797;-61 10 37.98;18.674; 0.206; 1.566;-1;-1;-1;-1;0
  874;07 54 38.875;-60 22 31.37;18.410; 1.382; 1.476;-1;-1; 1;-1;0
  875;07 54 38.902;-61 12 59.54;18.705; 0.780; 1.046;-1;-1; 1;-1;0
  876;07 54 38.908;-60 37 56.94;19.331; 0.734; 1.001;-1;-1; 1;-1;0
  877;07 54 38.917;-60 45 09.77;19.423;      ; 1.694; 0;-1; 0;-1;0
  878;07 54 38.924;-60 51 26.82;15.007; 1.187; 1.331; 1; 1; 1; 1;1
  879;07 54 38.926;-60 42 31.34;20.080;      ; 1.159; 0;-1; 0;-1;0
  880;07 54 38.981;-60 46 41.43;17.329; 1.303; 1.377;-1;-1; 1;-1;0
  881;07 54 38.987;-60 23 59.57;16.617; 0.666; 0.834;-1;-1; 1;-1;0
  882;07 54 39.056;-60 54 01.58;18.422; 0.880; 0.963;-1;-1; 1;-1;0
  883;07 54 39.068;-60 32 54.93;19.121; 1.138; 1.195;-1;-1; 1;-1;0
  884;07 54 39.072;-60 20 19.57;17.585; 0.855; 1.047;-1;-1; 1;-1;0
  885;07 54 39.103;-61 13 16.34;19.013;      ; 1.257; 0;-1; 0;-1;0
  886;07 54 39.168;-60 41 53.57;11.920; 0.364; 0.739;-1; 1;-1;-1;1
  887;07 54 39.239;-60 41 40.71;19.598;      ; 1.814; 0;-1; 0;-1;0
  888;07 54 39.335;-60 45 42.75;15.598; 0.794; 0.925;-1;-1; 1;-1;0
  889;07 54 39.338;-61 06 15.85;19.429;      ; 1.345; 0;-1; 0;-1;0
  890;07 54 39.350;-60 52 33.73;18.367; 1.243; 1.453;-1;-1; 1;-1;0
  891;07 54 39.378;-60 47 25.91;17.017; 0.974; 1.189;-1;-1; 1;-1;0
  892;07 54 39.411;-60 18 51.60;19.291;      ; 2.402; 0;-1; 0;-1;0
  893;07 54 39.417;-60 35 17.88;17.046; 0.882; 1.093;-1;-1; 1;-1;0
  894;07 54 39.432;-60 20 03.39;15.263; 0.881; 0.959;-1;-1; 1;-1;0
  895;07 54 39.438;-61 10 54.93;15.862; 0.861; 1.031;-1;-1; 1;-1;0
  896;07 54 39.503;-60 28 48.71;19.485; 0.467; 0.914;-1;-1;-1;-1;0
  897;07 54 39.517;-60 23 35.34;18.389; 1.463; 1.679; 1;-1; 1;-1;0
  898;07 54 39.537;-60 35 04.42;16.532; 0.784; 1.009;-1;-1;-1;-1;0
  899;07 54 39.554;-61 09 18.30;18.701; 0.996; 1.171;-1;-1; 1;-1;0
  900;07 54 39.574;-60 43 10.25;14.442; 0.633; 0.806;-1;-1; 1;-1;0
  901;07 54 39.589;-61 06 54.00;16.514; 0.769; 0.961;-1;-1; 1;-1;0
  902;07 54 39.590;-60 26 30.80;19.395; 0.934; 1.375;-1;-1;-1;-1;0
  903;07 54 39.618;-60 24 40.98;16.629; 1.096; 1.166;-1;-1; 1;-1;0
  904;07 54 39.635;-60 53 47.69;19.634;      ; 1.694; 0;-1; 0;-1;0
  905;07 54 39.661;-60 56 29.07;20.151;      ; 2.463; 0;-1; 0;-1;0
  906;07 54 39.788;-61 11 09.54;19.860;      ; 2.335; 0;-1; 0;-1;0
  907;07 54 39.811;-61 02 57.85;19.592;      ; 1.529; 0;-1; 0;-1;0
  908;07 54 39.846;-60 38 28.64;17.512; 0.783; 1.023;-1;-1; 1;-1;0
  909;07 54 39.846;-60 39 49.45;17.738; 1.412; 1.607;-1;-1; 1;-1;0
  910;07 54 39.852;-60 28 09.36;17.228; 0.938; 1.112;-1;-1; 1;-1;0
  911;07 54 39.860;-60 49 49.14;20.819;      ; 2.250; 0;-1; 0;-1;0
  912;07 54 39.874;-61 03 05.88;20.590;      ; 2.275; 0;-1; 0;-1;0
  913;07 54 39.940;-61 07 23.89;17.834; 0.688; 1.006;-1;-1;-1;-1;0
  914;07 54 39.961;-61 07 47.06;19.164; 0.937; 1.070;-1;-1; 1;-1;0
  915;07 54 39.974;-60 40 12.63;17.057; 0.591; 0.881;-1;-1;-1;-1;0
  916;07 54 40.064;-60 40 17.83;17.583; 1.117; 1.246;-1;-1; 1;-1;0
  917;07 54 40.095;-60 53 25.27;17.828; 1.114; 1.329;-1;-1; 1;-1;0
  918;07 54 40.173;-61 04 03.81;19.569;      ; 1.295; 0;-1; 0;-1;0
  919;07 54 40.177;-61 05 45.90;12.701; 0.663; 0.843; 1; 1; 1; 1;1
  920;07 54 40.206;-60 35 22.88;17.326; 1.005; 1.095;-1;-1; 1;-1;0
  921;07 54 40.226;-61 10 09.43;19.632;      ; 1.872; 0;-1; 0;-1;0
  922;07 54 40.238;-60 24 25.82;20.186;      ; 2.862; 0; 1; 0; 1;0
  923;07 54 40.246;-60 36 52.77;19.774;      ; 2.245; 0;-1; 0;-1;0
  924;07 54 40.253;-60 49 01.24;17.759; 0.833; 1.047;-1;-1; 1;-1;0
  925;07 54 40.302;-60 27 58.48;16.231; 0.837; 0.987;-1;-1; 1;-1;0
  926;07 54 40.308;-60 50 18.74;18.702; 0.570; 1.019;-1;-1;-1;-1;0
  927;07 54 40.310;-60 41 32.54;18.149; 0.966; 0.995;-1;-1; 1;-1;0
  928;07 54 40.353;-60 28 19.07;17.137; 0.841; 0.966;-1;-1; 1;-1;0
  929;07 54 40.406;-60 33 41.22;18.190; 0.638; 0.984;-1;-1;-1;-1;0
  930;07 54 40.410;-60 26 14.29;19.364; 0.612; 0.777;-1;-1; 1;-1;0
  931;07 54 40.434;-60 21 08.68;20.865;      ; 2.235; 0;-1; 0;-1;0
  932;07 54 40.453;-61 04 06.63;19.303; 0.942; 1.076;-1;-1; 1;-1;0
  933;07 54 40.512;-60 27 55.73;17.264; 0.919; 0.953;-1;-1; 1;-1;0
  934;07 54 40.516;-60 54 04.84;18.123; 0.883; 1.167;-1;-1; 1;-1;0
  935;07 54 40.567;-60 50 29.73;20.313;      ; 2.275; 0;-1; 0;-1;0
  936;07 54 40.618;-60 24 49.63;17.816; 0.888; 1.114;-1;-1; 1;-1;0
  937;07 54 40.624;-60 53 04.14;18.759; 1.288; 1.263;-1;-1;-1;-1;0
  938;07 54 40.646;-60 58 51.31;18.886; 1.065; 1.703;-1;-1;-1;-1;0
  939;07 54 40.658;-60 24 44.01;19.704; 0.739; 0.978;-1;-1; 1;-1;0
  940;07 54 40.725;-60 37 32.80;18.551; 0.621; 1.018;-1;-1;-1;-1;0
  941;07 54 40.736;-60 35 10.43;16.764; 0.899; 1.083;-1;-1; 1;-1;0
  942;07 54 40.766;-60 34 17.15;17.448; 0.961; 1.223;-1;-1; 1;-1;0
  943;07 54 40.776;-60 45 18.82;15.301; 0.754; 0.967;-1;-1; 1;-1;0
  944;07 54 40.838;-61 11 12.21;15.252; 0.749; 0.959;-1;-1; 1;-1;0
  945;07 54 40.892;-61 03 39.20;18.821; 1.164; 1.537;-1;-1;-1;-1;0
  946;07 54 40.904;-61 02 45.08;17.128; 1.247; 1.450;-1;-1; 1;-1;0
  947;07 54 40.928;-60 24 19.97;18.143; 0.622; 0.916;-1;-1; 1;-1;0
  948;07 54 40.943;-61 02 34.40;19.493; 1.259; 0.884;-1;-1;-1;-1;0
  949;07 54 40.945;-60 39 26.29;11.579; 1.050;      ;-1; 0; 0;-1;0
  950;07 54 40.954;-61 03 03.76;19.106;      ; 1.751; 0;-1; 0;-1;0
  951;07 54 40.957;-60 54 13.52;18.791; 0.849; 1.124;-1;-1; 1;-1;0
  952;07 54 41.068;-60 59 56.45;16.690; 1.149; 1.306;-1;-1; 1;-1;0
  953;07 54 41.085;-60 34 19.49;16.240; 1.072; 1.225;-1;-1; 1;-1;0
  954;07 54 41.191;-60 40 59.95;17.746; 0.930; 1.050;-1;-1; 1;-1;0
  955;07 54 41.216;-60 53 55.00;19.069;      ; 1.599; 0;-1; 0;-1;0
  956;07 54 41.221;-61 01 06.10;18.673; 1.008; 1.189;-1;-1; 1;-1;0
  957;07 54 41.232;-60 19 36.96;17.055; 0.709; 0.891;-1;-1; 1;-1;0
  958;07 54 41.304;-60 21 32.31;20.334;      ; 2.642; 0;-1; 0;-1;0
  959;07 54 41.314;-60 28 45.14;19.629; 0.616; 1.084;-1;-1;-1;-1;0
  960;07 54 41.405;-60 35 01.16;18.051; 0.835; 0.855;-1;-1; 1;-1;0
  961;07 54 41.431;-60 55 59.54;16.810; 1.078; 1.186;-1;-1; 1;-1;0
  962;07 54 41.446;-60 45 25.40;19.150;      ; 1.713; 0;-1; 0;-1;0
  963;07 54 41.452;-60 27 13.50;20.017;      ; 1.750; 0;-1; 0;-1;0
  964;07 54 41.457;-60 23 56.36;18.876; 1.460; 1.604;-1;-1; 1;-1;0
  965;07 54 41.533;-60 57 17.77;20.542;      ; 1.351; 0;-1; 0;-1;0
  966;07 54 41.534;-61 04 34.44;16.552; 1.124; 1.316;-1;-1; 1;-1;0
  967;07 54 41.564;-60 39 21.43;13.800; 1.167; 2.102;-1;-1;-1;-1;0
  968;07 54 41.611;-61 08 08.44;19.989;      ; 0.864; 0;-1; 0;-1;0
  969;07 54 41.615;-60 35 51.67;20.137;      ; 2.924; 0; 1; 0; 1;0
  970;07 54 41.680;-60 52 31.64;16.888; 0.824; 1.029;-1;-1; 1;-1;0
  971;07 54 41.688;-60 50 29.63;17.398; 0.779; 0.959;-1;-1; 1;-1;0
  972;07 54 41.715;-60 53 08.04;19.473;      ; 1.597; 0;-1; 0;-1;0
  973;07 54 41.753;-60 46 05.17;20.013;      ; 1.147; 0;-1; 0;-1;0
  974;07 54 41.797;-60 53 53.87;16.780; 0.931; 0.959;-1;-1; 1;-1;0
  975;07 54 41.812;-60 27 07.36;20.556;      ; 2.178; 0;-1; 0;-1;0
  976;07 54 41.814;-60 21 02.75;13.502; 0.582; 0.731;-1;-1; 1;-1;0
  977;07 54 41.825;-60 48 26.72;20.113;      ; 1.504; 0;-1; 0;-1;0
  978;07 54 41.841;-61 13 05.89;17.695; 0.806; 0.906;-1;-1; 1;-1;0
  979;07 54 41.846;-60 22 47.00;19.007; 1.402; 1.792;-1;-1; 1;-1;0
  980;07 54 41.864;-60 48 43.99;15.575; 0.821; 0.974;-1;-1; 1;-1;0
  981;07 54 41.875;-60 45 30.01;18.873; 1.073; 1.401;-1;-1; 1;-1;0
  982;07 54 41.881;-60 43 52.29;19.019;      ; 2.609; 0; 1; 0; 1;0
  983;07 54 41.895;-60 42 45.01;18.258; 0.616; 1.009;-1;-1;-1;-1;0
  984;07 54 41.960;-60 49 53.79;18.933; 0.567; 0.866;-1;-1; 1;-1;0
  985;07 54 41.968;-60 54 27.69;19.582;      ; 0.939; 0;-1; 0;-1;0
  986;07 54 41.971;-61 01 15.13;18.028; 0.645; 1.192;-1;-1;-1;-1;0
  987;07 54 41.974;-60 57 48.82;11.111; 0.472; 0.613; 1; 1; 1; 1;1
  988;07 54 41.974;-61 09 44.00;17.765; 0.849; 1.026;-1;-1; 1;-1;0
  989;07 54 41.975;-60 29 49.16;14.773; 0.542; 0.680;-1;-1; 1;-1;0
  990;07 54 41.978;-60 24 30.34;19.879;      ; 1.147; 0;-1; 0;-1;0
  991;07 54 41.983;-60 51 48.16;19.464;      ; 1.206; 0;-1; 0;-1;0
  992;07 54 41.996;-60 22 19.70;17.419; 0.575; 0.784;-1;-1; 1;-1;0
  993;07 54 42.023;-61 01 56.08;19.970;      ; 1.025; 0;-1; 0;-1;0
  994;07 54 42.028;-60 54 48.14;19.052;      ; 1.915; 0;-1; 0;-1;0
  995;07 54 42.054;-60 36 43.31;18.691; 1.637; 1.580; 1;-1;-1;-1;0
  996;07 54 42.082;-60 27 14.48;20.213; 0.603;      ;-1; 0; 0;-1;0
  997;07 54 42.144;-60 57 31.44;19.342;      ; 1.721; 0;-1; 0;-1;0
  998;07 54 42.149;-60 24 47.49;18.820; 0.944; 0.951;-1;-1; 1;-1;0
  999;07 54 42.168;-60 24 17.74;16.047; 0.981; 1.129;-1;-1; 1;-1;0
 1000;07 54 42.225;-60 42 48.67;14.394; 1.628; 1.082;-1; 1;-1;-1;0
 1001;07 54 42.285;-60 30 11.53;19.223; 0.569; 1.140;-1;-1;-1;-1;0
 1002;07 54 42.297;-60 53 53.57;14.319; 0.878; 0.961; 1; 1; 1; 1;0
 1003;07 54 42.319;-61 07 21.15;19.128; 0.825; 1.044;-1;-1; 1;-1;0
 1004;07 54 42.323;-60 28 03.34;17.869; 0.774; 0.963;-1;-1; 1;-1;0
 1005;07 54 42.357;-60 42 22.48;19.394;      ; 1.821; 0;-1; 0;-1;0
 1006;07 54 42.408;-60 24 10.43;20.266;      ; 1.461; 0;-1; 0;-1;0
 1007;07 54 42.424;-61 04 53.89;18.669; 1.413; 1.612;-1;-1; 1;-1;0
 1008;07 54 42.443;-60 46 05.28;19.978;      ; 1.569; 0;-1; 0;-1;0
 1009;07 54 42.444;-60 32 11.90;15.995; 0.744; 0.919;-1;-1; 1;-1;0
 1010;07 54 42.465;-60 42 52.68;14.407; 1.472; 1.077;-1; 1;-1;-1;0
 1011;07 54 42.494;-60 20 57.44;18.618; 1.117; 1.708;-1;-1;-1;-1;0
 1012;07 54 42.532;-60 19 28.95;18.929; 0.476; 0.625;-1;-1; 1;-1;0
 1013;07 54 42.628;-60 23 55.22;21.215;      ; 2.310; 0;-1; 0;-1;0
 1014;07 54 42.644;-61 02 37.43;19.042; 0.721; 0.735;-1;-1; 1;-1;0
 1015;07 54 42.658;-61 01 39.67;19.689;      ; 0.853; 0;-1; 0;-1;0
 1016;07 54 42.683;-60 27 38.88;20.291;      ; 2.057; 0;-1; 0;-1;0
 1017;07 54 42.696;-60 53 35.59;19.061; 1.463; 1.357; 1;-1;-1;-1;0
 1018;07 54 42.723;-60 35 42.17;18.289; 1.052; 1.488;-1;-1;-1;-1;0
 1019;07 54 42.764;-60 32 36.88;17.446; 0.752; 0.927;-1;-1; 1;-1;0
 1020;07 54 42.893;-60 20 30.86;18.497; 1.149; 1.327;-1;-1; 1;-1;0
 1021;07 54 42.898;-60 54 30.24;19.288; 0.580; 0.949;-1;-1;-1;-1;0
 1022;07 54 42.940;-61 12 45.03;18.125; 0.877; 1.789;-1;-1;-1;-1;0
 1023;07 54 43.004;-60 20 34.39;19.155; 1.359; 1.543;-1;-1; 1;-1;0
 1024;07 54 43.138;-60 44 39.87;18.168; 1.193; 1.544;-1;-1; 1;-1;0
 1025;07 54 43.172;-60 39 53.63;19.950;      ; 0.855; 0;-1; 0;-1;0
 1026;07 54 43.243;-60 35 12.29;16.763; 0.842; 0.973;-1;-1; 1;-1;0
 1027;07 54 43.272;-60 39 37.38;19.387; 0.673; 1.141;-1;-1;-1;-1;0
